probability_band,decisions,hits,misses,average_probability,observed_hit_rate,calibration_gap,wilson_low,wilson_high
Below 55%,6927,3246,3681,0.46165543525335645,0.4686011260285838,0.006945690775227331,0.45687021582356807,0.48036684352576126
55-60%,2765,1629,1136,0.5748109222423146,0.5891500904159132,0.014339168173598593,0.5707002398056316,0.607352560325658
60-65%,2801,1790,1011,0.6244212067118886,0.6390574794716173,0.014636272759728675,0.6210917678670966,0.6566422760090354
65-70%,1811,1215,596,0.6709238542241854,0.6709000552181116,-2.3799006073854656e-05,0.648916575198664,0.6921600234422313
70-75%,554,388,166,0.7182884476534295,0.7003610108303249,-0.017927436823104603,0.6609406791522063,0.7370217531941801
75-80%,81,53,28,0.7681432098765432,0.654320987654321,-0.11382222222222216,0.5458917196718802,0.7487750475743764
80% and above,14,8,6,0.8293428571428573,0.5714285714285714,-0.2579142857142859,0.32590266902869364,0.7861949006959947
