score_range,decisions,hits,misses,hit_rate,avg_score,pickable_rate,publisher_rate,avg_stop_count
<= 50,50310,27266,23044,0.5419598489365931,38.88511647783741,3.975352812562115e-05,0.04082687338501292,9.270264360962035
50-55,7783,4889,2894,0.628163947064114,52.287376333033535,0.0015418219195682899,0.12398817936528331,6.609405113709367
55-60,4102,2693,1409,0.6565090199902487,57.19201365187714,0.006094588005850805,0.16772306192101413,5.8015602145294976
60-65,1634,1147,487,0.7019583843329253,62.06780905752753,0.01835985312117503,0.1988984088127295,5.0195838433292534
65-70,502,371,131,0.7390438247011952,66.96880478087648,0.035856573705179286,0.300796812749004,4.51593625498008
70-75,128,87,41,0.6796875,71.82007812500001,0.078125,0.421875,3.7890625
75-80,21,16,5,0.7619047619047619,76.44238095238094,0.09523809523809523,0.38095238095238093,3.4761904761904763
>= 80,2,2,0,1.0,80.63,0.0,0.0,5.5
